"tier","scenario_family","scenario_name","layer","world","condition","task","model","feature","n_jobs_selected"
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k5_disjoint","temporal_gamma_spread_90_10",92
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k5_nondisjoint","temporal_gamma_spread_90_10",57
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_gamma_spread_90_10",14
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_gamma_spread_90_10",21
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_gamma_spread_90_10",7
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","TSP_k1","temporal_gamma_spread_90_10",58
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_gamma_upper_tail",7
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_center",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","temporal_theta_center",7
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","temporal_theta_D20",1
