"comparison","metric","tier","layer","world","scenario_family","scenario_name","condition","task","ktsp_model","comparator_model","comparator_block","n_repeats","mean_delta","median_delta","bootstrap_ci_low","bootstrap_ci_high","wilcox_p","paired_t_p","wilcox_p_holm","wilcox_p_bh","paired_t_p_holm","paired_t_p_bh"
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_elasticnet","classic_fast",20,0.0590238095238095,0.0555357142857143,0.0404629464285714,0.0785666666666667,0.000175476155215737,1.09857615578845e-05,0.0495303716259305,0.00037243918658034,0.00281235495881842,2.15569660758487e-05
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","majority","classic_fast",20,0.376752203678674,0.381588539599375,0.363210555501645,0.389953072210512,9.56917315706463e-05,3.81538696976461e-22,0.0496898731631834,0.00029443609714045,1.91150887185207e-19,9.92000612138798e-21
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","majority","classic_fast",20,0.501591021418028,0.508598493779839,0.476414932271264,0.525335083119788,9.56917315706463e-05,1.05806669653733e-19,0.0496898731631834,0.000324133170225704,5.2797528157213e-17,2.50088491908825e-18
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","majority","classic_fast",20,0.241267857142857,0.246607142857143,0.228928125,0.253494196428571,9.56917315706463e-05,3.23620850177904e-19,0.0490829590524173,0.000299071327167016,1.61486804238774e-16,7.64922009511409e-18
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.0492499500843154,0.0456296223556287,0.0289683064001272,0.0712999205945414,0.000953358041013486,0.000324820421578151,0.18781153407964,0.00152069380775157,0.0613910596782704,0.000508754877170597
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.0829526978662273,0.0954293900814079,0.0425127215316086,0.126374856762519,0.00160712458710077,0.00126274635944151,0.319817792833054,0.00256351161132639,0.220980612902265,0.00189776909511441
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.0485535714285714,0.0495238095238095,0.0286959821428572,0.0685654761904762,0.000890877828158665,0.000179431998249182,0.180848199116209,0.00145678135422172,0.0350096385078151,0.000286210549354523
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,-0.0521141406323295,-0.0479180704915999,-0.0690619390112811,-0.035567999378932,0.000235745358564439,1.01656773679079e-05,0.0653014643223415,0.000478857759584016,0.0027040701798635,2.07300087502436e-05
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,-0.0884160625141188,-0.0917125172506105,-0.117888607457829,-0.0584204826433816,0.000418811376312347,2.47248749689453e-05,0.105540466830712,0.000777792556008723,0.00640374261695682,4.90722709307311e-05
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,-0.0481369047619048,-0.0488095238095239,-0.0637026785714286,-0.0324223214285714,0.000253280027220494,1.31307187153652e-05,0.0650929669956669,0.000498884902100973,0.00328267967884129,2.51954750257929e-05
