"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P1","ds004504__EC","AD_FTD_vs_CN",19,"AD_FTD","CN",88,59,0,29,0,0.670454545454545,0.401360544217687,0.5,0,0.670454545454545,1,0.802721088435374,59,0,0,0,29
"P1","ds004504__EC","AD_FTD_vs_CN",20,"AD_FTD","CN",88,56,2,27,3,0.659090909090909,0.453189726594863,0.50905902980713,0.0367885474597433,0.674698795180723,0.949152542372881,0.788732394366197,59,0.4,0.0689655172413793,0.117647058823529,29
"P1","ds004504__EC","AD_vs_CN",1,"AD","CN",65,27,10,19,9,0.569230769230769,0.53760162601626,0.547413793103448,0.103640435431291,0.58695652173913,0.75,0.658536585365854,36,0.526315789473684,0.344827586206897,0.416666666666667,29
"P1","ds004504__EC","AD_vs_CN",2,"AD","CN",65,26,10,19,10,0.553846153846154,0.525069286974049,0.533524904214559,0.0722148537355202,0.577777777777778,0.722222222222222,0.641975308641975,36,0.5,0.344827586206897,0.408163265306122,29
"P1","ds004504__EC","AD_vs_CN",3,"AD","CN",65,32,5,24,4,0.569230769230769,0.479405034324943,0.530651340996169,0.0882296296863049,0.571428571428571,0.888888888888889,0.695652173913043,36,0.555555555555556,0.172413793103448,0.263157894736842,29
"P1","ds004504__EC","AD_vs_CN",4,"AD","CN",65,27,8,21,9,0.538461538461538,0.495341614906832,0.512931034482759,0.0292528669214443,0.5625,0.75,0.642857142857143,36,0.470588235294118,0.275862068965517,0.347826086956522,29
"P1","ds004504__EC","AD_vs_CN",5,"AD","CN",65,28,12,17,8,0.615384615384615,0.590576971529353,0.595785440613027,0.206328153530058,0.622222222222222,0.777777777777778,0.691358024691358,36,0.6,0.413793103448276,0.489795918367347,29
"P1","ds004504__EC","AD_vs_CN",6,"AD","CN",65,26,16,13,10,0.646153846153846,0.637575757575758,0.636973180076628,0.277969282645598,0.666666666666667,0.722222222222222,0.693333333333333,36,0.615384615384615,0.551724137931034,0.581818181818182,29
"P1","ds004504__EC","AD_vs_CN",7,"AD","CN",65,30,7,22,6,0.569230769230769,0.507575757575758,0.53735632183908,0.0928476690885259,0.576923076923077,0.833333333333333,0.681818181818182,36,0.538461538461538,0.241379310344828,0.333333333333333,29
"P1","ds004504__EC","AD_vs_CN",8,"AD","CN",65,22,16,13,14,0.584615384615385,0.581045595607544,0.581417624521073,0.162369338934022,0.628571428571429,0.611111111111111,0.619718309859155,36,0.533333333333333,0.551724137931034,0.542372881355932,29
