"split_family","condition","task","metric","n_repeats","repeat_mean","repeat_sd","repeat_median","repeat_iqr","repeat_min","repeat_max","comparison_policy"
"P1","ds004504__EC","AD_vs_FTD","mcc",20,0.0382771053098743,0.0848512631250771,0.0516156788630051,0.111094987935152,-0.114942718034766,0.190984159312376,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","precision_positive",20,0.617982605825678,0.0162302370004357,0.617601547388781,0.0223180618401208,0.583333333333333,0.641509433962264,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","recall_positive",20,0.877777777777778,0.0579876978282049,0.888888888888889,0.0833333333333333,0.777777777777778,0.972222222222222,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","f1_positive",20,0.724587210620994,0.0247878660623261,0.725274725274725,0.0283510816542902,0.666666666666667,0.764044943820225,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","precision_negative",20,0.435542096792097,0.116656697447249,0.477272727272727,0.127840909090909,0.25,0.666666666666667,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","recall_negative",20,0.15,0.0725819021804124,0.173913043478261,0.130434782608696,0.0434782608695652,0.260869565217391,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_FTD","f1_negative",20,0.21599594610431,0.0910079604703338,0.246679316888046,0.132936507936508,0.0740740740740741,0.342857142857143,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","accuracy",20,0.591346153846154,0.0373706634967854,0.586538461538461,0.0625,0.519230769230769,0.653846153846154,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","macro_f1",20,0.525982634335978,0.0582704090590912,0.519327731092437,0.0735784372326403,0.413533834586466,0.626794258373206,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","balanced_accuracy",20,0.556934032983508,0.041732031378258,0.555097451274363,0.0639055472263867,0.479010494752624,0.631184407796102,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","mcc",20,0.139698503292486,0.100478457829655,0.131548503530187,0.180769451917616,-0.0577861529362658,0.287626330187905,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","precision_positive",20,0.579778138528139,0.106556638051707,0.564393939393939,0.148809523809524,0.375,0.8,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","recall_positive",20,0.258695652173913,0.0919341902330011,0.260869565217391,0.0978260869565218,0.0869565217391304,0.434782608695652,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","f1_positive",20,0.351759964756487,0.101430202089726,0.352941176470588,0.10423987776929,0.142857142857143,0.526315789473684,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","precision_negative",20,0.593848032500915,0.0275564927257859,0.5905552672548,0.0392975926512512,0.545454545454545,0.648648648648649,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","recall_negative",20,0.855172413793103,0.0412581408011117,0.827586206896552,0.0431034482758621,0.827586206896552,0.96551724137931,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","CN_vs_FTD","f1_negative",20,0.700205303915469,0.0227658094976402,0.694492753623188,0.0323503973933332,0.657534246575343,0.73972602739726,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","accuracy",20,0.597115384615385,0.041139086989816,0.596153846153846,0.0480769230769231,0.519230769230769,0.692307692307692,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","macro_f1",20,0.533736541129605,0.0545880849027554,0.540878472415521,0.0560382148011933,0.424723424723425,0.638888888888889,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","balanced_accuracy",20,0.562781109445277,0.0422898803586964,0.563718140929535,0.045352323838081,0.479010494752624,0.656671664167916,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","mcc",20,0.158239857767568,0.109312307757886,0.156662693227186,0.120991686256413,-0.0577861529362658,0.411365519647685,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","precision_positive",20,0.604482600732601,0.119621624744644,0.591666666666667,0.137820512820513,0.375,0.888888888888889,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","recall_positive",20,0.265217391304348,0.0758331825454244,0.260869565217391,0.0652173913043479,0.0869565217391304,0.347826086956522,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","f1_positive",20,0.363560154747585,0.0897419750389817,0.376689189189189,0.0971645752895753,0.148148148148148,0.5,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","precision_negative",20,0.596557393600227,0.0257138071403851,0.597619047619048,0.0265731055969735,0.545454545454545,0.651162790697674,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","recall_negative",20,0.860344827586207,0.05864203732145,0.862068965517241,0.0862068965517241,0.758620689655172,0.96551724137931,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","CN_vs_FTD","f1_negative",20,0.703912927511625,0.0318910256520545,0.702762026705689,0.0387830667633697,0.656716417910448,0.777777777777778,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","accuracy",20,0.655113636363636,0.0153237321876907,0.653409090909091,0.0227272727272727,0.625,0.681818181818182,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","macro_f1",20,0.412299440635585,0.022098106754155,0.411635983064554,0.039154616240267,0.384615384615385,0.459207459207459,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","balanced_accuracy",20,0.493381063705435,0.0153538826730793,0.491817650496785,0.0257159555815313,0.466101694915254,0.517533606078317,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","mcc",20,-0.0334260888564973,0.0885819362151729,-0.036928646295287,0.162215908776456,-0.152990106080475,0.152921088455748,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","precision_positive",20,0.667421653322698,0.00701230876241793,0.666666666666667,0.0116279069767442,0.654761904761905,0.678571428571429,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","recall_positive",20,0.967796610169491,0.018155132995383,0.966101694915254,0.0338983050847458,0.932203389830508,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","f1_positive",20,0.789991110010173,0.0102616245943325,0.788936781609195,0.0167832167832169,0.769230769230769,0.808219178082192,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","precision_negative",20,0.233333333333333,0.281755150640198,0.125,0.5,0,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","recall_negative",20,0.0189655172413793,0.0208553558217,0.0172413793103448,0.0344827586206897,0,0.0689655172413793,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_FTD_vs_CN","f1_negative",20,0.0346077712609971,0.0376904838790596,0.0303030303030303,0.0645161290322581,0,0.121212121212121,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","accuracy",20,0.654545454545455,0.0134960887153764,0.659090909090909,0.0255681818181818,0.636363636363636,0.670454545454545,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","macro_f1",20,0.421468829022212,0.0240375486881005,0.427083333333333,0.031922587859713,0.388888888888889,0.476190476190476,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","balanced_accuracy",20,0.496025715955582,0.014054222440073,0.500292226767972,0.0254237288135594,0.474576271186441,0.517825832846289,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","mcc",20,-0.0214409778200575,0.0704474319825416,0.00151392689742945,0.110940374467195,-0.131711640076362,0.0791328134899008,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","precision_positive",20,0.668640693255754,0.00648963395689901,0.670588235294118,0.0117680022415242,0.658823529411765,0.679012345679012,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","recall_positive",20,0.961016949152542,0.0199031508004203,0.966101694915254,0.021186440677966,0.932203389830508,1,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","f1_positive",20,0.788535416942704,0.00944430375316462,0.791666666666667,0.0174133324818256,0.774647887323944,0.802721088435374,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","precision_negative",20,0.254761904761905,0.194821978467393,0.333333333333333,0.407142857142857,0,0.5,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","recall_negative",20,0.0310344827586207,0.0271747905397384,0.0344827586206897,0.0344827586206897,0,0.103448275862069,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds006036__EO_or_photomark","AD_FTD_vs_CN","f1_negative",20,0.0544022411017193,0.0456057333490832,0.0625,0.0645161290322581,0,0.166666666666667,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds006036__EO_or_photomark","AD_vs_CN","accuracy",20,0.552307692307692,0.0330717442513898,0.546153846153846,0.0615384615384615,0.476923076923077,0.615384615384615,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
