"tier","scenario_family","scenario_name","layer","world","condition","task","block","model","accuracy","balanced_accuracy","f1_pos","f1_neg","macro_f1","mcc"
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_FTD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.784090909090909,0.803915838690824,0.822429906542056,0.72463768115942,0.773533793850738,0.573796269229529
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","switchBox","kTSP_CV_disjoint",0.829545454545455,0.820280537697253,0.869565217391304,0.754098360655738,0.811831789023521,0.625916711030735
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.791649789301686,0.751339160839161,0.847255580542957,0.663192472016997,0.755224026279977,0.525857466137447
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","switchBox","kTSP_k5_disjoint",0.761909292225662,0.806048368298368,0.789454914252116,0.723195579839615,0.756325247045866,0.580054028614417
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","switchBox","kTSP_k9_disjoint",0.7968669375645,0.747273018648019,0.854462853485442,0.655760494174715,0.755111673830079,0.529632474056325
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.74231684981685,0.741267857142857,0.755448724735876,0.710878649128649,0.733163686932263,0.501591021418028
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.80231684981685,0.809517857142857,0.798204326719033,0.800295364765953,0.799249845742493,0.629033474369374
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.928571428571428,0.9375,0.928571428571428,0.928571428571428,0.928571428571428,0.875
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","switchBox","kTSP_k5_disjoint",0.796437728937729,0.810940476190476,0.774208596958597,0.810409654758726,0.792309125858661,0.640884583998936
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.713974358974359,0.702708333333333,0.746402406245286,0.636383138103726,0.691392772174506,0.452838636334854
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.813186813186813,0.813988095238095,0.822115384615385,0.801282051282051,0.811698717948718,0.62797619047619
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","switchBox","kTSP_k5_nondisjoint",0.743525641025641,0.741363095238095,0.762977537168714,0.706636030636031,0.734806783902372,0.498826754694397
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.762903762903763,0.74788961038961,0.803958738408499,0.679891601103722,0.741925169756111,0.547116419620059
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.775384615384615,0.778071428571429,0.786355978988332,0.753560495060495,0.769958237024413,0.56972226382529
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.78021978021978,0.78125,0.794642857142857,0.757142857142857,0.775892857142857,0.589207816578215
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.818681318681319,0.829422619047619,0.807592019092019,0.823154187315952,0.815373103203985,0.67248936704632
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.711677211677212,0.699013949013949,0.745273671976458,0.627545602545603,0.68640963726103,0.457644388983307
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.851648351648352,0.833333333333333,0.881944444444444,0.8,0.840972222222222,0.725189521581659
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.781126373626373,0.761815476190476,0.825314288738437,0.68710150960151,0.756207899169973,0.587803364779136
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.8,0.792624521072797,0.826666666666667,0.763636363636364,0.795151515151515,0.593843467470141
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_CN","switchBox","kTSP_k5_disjoint",0.830769230769231,0.837164750957854,0.835820895522388,0.825396825396825,0.830608860459607,0.671122971611979
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.815384615384615,0.809865900383142,0.837837837837838,0.785714285714286,0.811776061776062,0.625144408342938
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_vs_CN","switchBox","kTSP_CV_disjoint",0.815384615384615,0.799808429118774,0.85,0.76,0.805,0.637364834373533
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_vs_CN","switchBox","kTSP_CV_nondisjoint",0.8,0.806034482758621,0.805970149253731,0.793650793650794,0.799810471452262,0.609158492698941
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_vs_CN","switchBox","kTSP_k3_nondisjoint",0.8,0.782567049808429,0.839506172839506,0.73469387755102,0.787100025195263,0.60866805291367
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.771227106227106,0.759431547619048,0.806652276944326,0.710525975626307,0.758589126285317,0.549720137759516
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_CN","switchBox","kTSP_k5_disjoint",0.819716117216117,0.830238095238095,0.814675078274216,0.822444279873851,0.818559679074034,0.666780326221478
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","switchBox","kTSP_k9_disjoint",0.788186813186813,0.770943452380952,0.830705255298348,0.711398690683541,0.771051972990944,0.589959956001317
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","switchBox","kTSP_CV_nondisjoint",0.575343041837887,0.592470544918999,0.580457794344999,0.545950870435406,0.563204332390203,0.189541533935888
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_FTD","switchBox","kTSP_CV_disjoint",0.55371965432941,0.54087543554007,0.607052373570534,0.445709439611879,0.526380906591206,0.0915426174053799
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.509324009324009,0.486522911051213,0.567610167610168,0.363463580444712,0.46553687402744,-0.0035869555475102
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.552478883124044,0.560848694316436,0.571050867398116,0.49522422022422,0.533137543811168,0.131853128888588
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","switchBox","kTSP_k9_disjoint",0.485468832243026,0.50397465437788,0.488611232396811,0.458582456969554,0.473596844683182,0.0117962223511713
