"tier","scenario_family","scenario_name","layer","world","condition","task","model","region","n_jobs"
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","occipital",100
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","occipital",100
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k9_disjoint","occipital",100
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","occipital",67
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","occipital",82
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","occipital",65
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_nondisjoint","occipital",100
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k9_nondisjoint","occipital",85
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k9_nondisjoint","occipital",100
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","CN_vs_FTD","kTSP_k9_nondisjoint","occipital",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k9_nondisjoint","occipital",100
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","TSP_k1","occipital",94
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","CN_vs_FTD","kTSP_CV_disjoint","parietal",8
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_FTD_vs_CN","kTSP_CV_nondisjoint","parietal",1
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","kTSP_CV_nondisjoint","parietal",1
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","kTSP_CV_nondisjoint","parietal",2
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_vs_CN","kTSP_CV_nondisjoint","parietal",2
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_FTD","kTSP_CV_nondisjoint","parietal",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","CN_vs_FTD","kTSP_CV_nondisjoint","parietal",1
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k3_nondisjoint","parietal",9
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_FTD_vs_CN","kTSP_k5_disjoint","parietal",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k5_disjoint","parietal",96
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","kTSP_k5_disjoint","parietal",92
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_CN","kTSP_k5_disjoint","parietal",2
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k5_disjoint","parietal",95
